transaction_id,reference_number,transaction_timestamp,transaction_date,transaction_month,transaction_type,transaction_status,channel,amount,balance_after_transaction,description,completed_flag,failed_flag,completed_amount,customer_id,customer_name,customer_city,customer_state,account_id,account_number,account_type,account_status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_state
40,TXN202601040,2026-01-01 03:00:00-06,2026-01-01,2026-01-01,deposit,completed,branch,500.00,500.00,Initial deposit,1,0,500.00,8,Lucas Wilson,Phoenix,Arizona,12,CHK100008,checking,closed,,No merchant,Not applicable,Not applicable,Not applicable
9,TXN202601009,2026-01-03 02:45:00-06,2026-01-03,2026-01-01,deposit,completed,branch,2800.00,3600.00,Payroll deposit,1,0,2800.00,2,Ethan Williams,Austin,Texas,3,CHK100002,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
33,TXN202601033,2026-01-04 02:00:00-06,2026-01-04,2026-01-01,deposit,completed,branch,3500.00,4500.00,Payroll deposit,1,0,3500.00,7,Emma Davis,Boston,Massachusetts,10,CHK100007,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
28,TXN202601028,2026-01-05 02:30:00-06,2026-01-05,2026-01-01,deposit,completed,branch,2000.00,2200.00,Payroll deposit,1,0,2000.00,6,Liam Brown,Chicago,Illinois,8,CHK100006,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
1,TXN202601001,2026-01-05 03:15:00-06,2026-01-05,2026-01-01,deposit,completed,branch,3000.00,5300.00,Payroll deposit,1,0,3000.00,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
21,TXN202601021,2026-01-06 03:00:00-06,2026-01-06,2026-01-01,deposit,completed,online,2000.00,22000.00,Savings deposit,1,0,2000.00,4,Noah Johnson,Denver,Colorado,6,SAV100004,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
43,TXN202601043,2026-01-07 02:15:00-06,2026-01-07,2026-01-01,deposit,completed,branch,2500.00,3200.00,Payroll deposit,1,0,2500.00,10,Arjun Reddy,Denton,Texas,14,CHK100010,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
2,TXN202601002,2026-01-07 12:30:00-06,2026-01-07,2026-01-01,purchase,completed,pos,120.45,5179.55,Weekly groceries,1,0,120.45,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,1,FreshMart Grocery,groceries,Dallas,Texas
10,TXN202601010,2026-01-08 11:40:00-06,2026-01-08,2026-01-01,purchase,completed,pos,95.20,3504.80,Grocery purchase,1,0,95.20,2,Ethan Williams,Austin,Texas,3,CHK100002,checking,active,1,FreshMart Grocery,groceries,Dallas,Texas
24,TXN202601024,2026-01-10 03:10:00-06,2026-01-10,2026-01-01,deposit,completed,branch,4500.00,5500.00,Payroll deposit,1,0,4500.00,5,Ava Thompson,Seattle,Washington,7,CHK100005,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
